ticker,call_date,stratum,v6_dir,b_score,b_dir,c_score,c_dir,gt_old_ruler,fwd_rel_ret_tradeable
ABBV,2020-05-01,S1,neutral,1,neutral,2,bullish,bearish,-11.1952
ABBV,2021-02-03,S1,neutral,3,bullish,2,bullish,bearish,-7.6342
ABBV,2021-10-29,S1,bullish,1,neutral,2,bullish,bullish,38.3757
ABBV,2022-02-02,S1,neutral,2,bullish,2,bullish,bullish,7.5328
ABBV,2022-04-29,S1,neutral,2,bullish,2,bullish,bullish,5.9668
ABBV,2022-07-29,S1,neutral,2,bullish,2,bullish,neutral,5.5609
ABBV,2022-10-28,S1,bearish,2,bullish,3,bullish,neutral,-4.4713
ABBV,2023-02-09,S1,neutral,1,neutral,2,bullish,bearish,-9.6821
ABBV,2023-04-27,S1,neutral,2,bullish,2,bullish,neutral,-3.1048
ABBV,2023-10-27,S1,neutral,3,bullish,2,bullish,bearish,-9.8028
ABBV,2024-04-26,S1,neutral,2,bullish,3,bullish,neutral,2.7775
ABBV,2024-10-30,S1,neutral,3,bullish,3,bullish,neutral,-1.8222
AEP,2020-05-06,S3,neutral,1,neutral,2,bullish,bearish,-4.7228
AEP,2020-08-06,S3,neutral,2,bullish,1,neutral,bearish,-20.498
AEP,2021-02-25,S3,neutral,-1,neutral,2,bullish,neutral,1.9128
AEP,2021-10-28,S3,neutral,2,bullish,1,neutral,bullish,27.7644
AEP,2022-04-28,S3,neutral,2,bullish,2,bullish,neutral,-4.2653
AEP,2022-07-27,S3,neutral,1,neutral,2,bullish,neutral,-3.9899
AEP,2023-11-02,S3,neutral,1,neutral,2,bullish,bearish,-5.4817
AEP,2024-04-30,S3,neutral,2,bullish,2,bullish,neutral,-5.7905
AEP,2024-07-30,S3,neutral,2,bullish,2,bullish,bearish,-7.8351
AIG,2020-05-05,S3,neutral,-1,neutral,2,bullish,bullish,22.8819
AIG,2020-08-04,S3,neutral,2,bullish,2,bullish,bullish,12.9132
AIG,2020-11-06,S3,neutral,2,bullish,2,bullish,bullish,17.3793
AIG,2021-02-17,S3,neutral,2,bullish,2,bullish,bullish,15.2629
AIG,2021-05-07,S3,neutral,3,bullish,2,bullish,neutral,1.4547
AIG,2022-02-17,S3,neutral,2,bullish,3,bullish,neutral,-5.6678
AIG,2022-08-09,S3,neutral,2,bullish,3,bullish,bullish,11.5034
AIG,2023-11-02,S3,neutral,3,bullish,3,bullish,neutral,6.3474
AIG,2024-05-02,S3,neutral,3,bullish,3,bullish,bearish,-14.5297
AIG,2025-02-12,S3,neutral,2,bullish,3,bullish,neutral,-1.1984
AMPX,2022-11-10,S5,neutral,-2,bearish,1,neutral,bearish,-23.436
AMPX,2023-03-23,S5,neutral,-2,bearish,1,neutral,bearish,-56.2057
AMPX,2023-05-10,S5,neutral,-2,bearish,1,neutral,bearish,-70.8952
AMPX,2023-08-10,S5,neutral,-2,bearish,1,neutral,bearish,-40.6266
AMPX,2023-11-09,S5,neutral,-2,bearish,1,neutral,bearish,-48.8979
AMPX,2024-03-21,S5,neutral,-3,bearish,1,neutral,bearish,-77.846
