ticker,call_date,stratum,v6_dir,b_score,b_dir_plus3,gt_old_ruler,fwd_rel_ret_tradeable
ACN,2020-09-24,S1,neutral,3,bullish,neutral,6.6031
ACN,2023-03-23,S1,bullish,2,neutral,bullish,5.7002
ACN,2023-09-28,S1,neutral,-2,bearish,bearish,-9.4994
ACN,2024-03-21,S1,neutral,-2,bearish,bearish,-10.2186
ACN,2024-12-19,S1,bullish,2,neutral,bearish,-22.6383
ACN,2025-06-20,S1,bullish,1,neutral,bearish,-21.1152
ACN,2025-09-25,S1,bullish,1,neutral,bearish,-15.2777
ARRY,2020-11-06,S2,bullish,2,neutral,bearish,-58.6737
ARRY,2021-03-09,S2,bullish,2,neutral,bearish,-57.0532
ARRY,2021-08-11,S2,neutral,-2,bearish,bearish,-43.9486
ARRY,2021-11-11,S2,neutral,-2,bearish,bearish,-60.6121
ARRY,2022-04-05,S2,bearish,-1,neutral,bullish,82.8045
ARRY,2022-08-09,S2,bearish,2,neutral,bullish,-11.0709
ARRY,2022-11-08,S2,bullish,2,neutral,bullish,-10.0956
ARRY,2023-03-15,S2,bullish,2,neutral,bullish,26.6021
ARRY,2023-05-09,S2,bearish,1,neutral,bearish,-8.1383
ARRY,2024-08-08,S2,neutral,-2,bearish,bearish,-6.4343
ARRY,2025-11-05,S2,bullish,2,neutral,bearish,-12.3436
BAC,2021-10-14,S1,bullish,2,neutral,bearish,-17.1656
BAC,2025-01-16,S1,bullish,2,neutral,bearish,-4.0441
BLDP,2022-03-14,S2,neutral,-2,bearish,bearish,-18.4178
BLDP,2022-05-09,S2,neutral,-2,bearish,bearish,-13.6726
BLDP,2022-11-07,S2,neutral,-2,bearish,bearish,-22.0921
BLDP,2023-03-17,S2,neutral,-2,bearish,bearish,-29.2384
BLDP,2023-05-10,S2,neutral,-2,bearish,bearish,-28.8224
BLDP,2023-08-09,S2,neutral,-2,bearish,bearish,-43.6607
BLDP,2023-11-07,S2,neutral,-2,bearish,bearish,-34.7416
BLDP,2024-03-11,S2,neutral,-2,bearish,bearish,-47.053
BLDP,2025-03-13,S2,bearish,-1,neutral,bullish,38.4554
BLDP,2025-05-06,S2,bearish,-1,neutral,bullish,160.5019
BLDP,2025-11-13,S2,neutral,-2,bearish,bullish,24.9572
CI,2022-02-03,S3,bearish,2,neutral,bullish,34.2258
CI,2023-02-03,S3,bullish,2,neutral,bearish,-9.6681
CI,2024-02-02,S3,bullish,2,neutral,neutral,-3.1932
CI,2025-01-30,S3,bearish,-1,neutral,bearish,-14.1474
CL,2021-10-29,S3,neutral,-2,bearish,bullish,11.8909
CL,2022-04-29,S3,neutral,-2,bearish,neutral,5.4244
CL,2024-04-26,S3,bullish,2,neutral,bearish,-7.8658
CL,2024-07-26,S3,bullish,2,neutral,bearish,-24.4899
CL,2025-10-31,S3,neutral,-2,bearish,bullish,10.9178
CRM,2020-02-25,S1,bullish,1,neutral,bullish,10.3141
CRM,2021-02-25,S1,bullish,2,neutral,neutral,6.3648
CRM,2021-11-30,S1,bullish,2,neutral,bearish,-27.9467
CRM,2022-08-24,S1,neutral,-2,bearish,bearish,-1.0677
CRM,2022-11-30,S1,neutral,-2,bearish,bullish,49.3891
CRM,2023-03-01,S1,neutral,3,bullish,bullish,1.8741
CRM,2023-11-30,S1,bullish,2,neutral,bearish,-29.9836
CRM,2024-05-29,S1,neutral,-2,bearish,bullish,36.7893
CRM,2025-02-26,S1,bullish,-1,neutral,bearish,-25.6968
CRM,2025-05-28,S1,bullish,1,neutral,bearish,-29.7152
CRM,2025-12-03,S1,bullish,2,neutral,bearish,-33.1796
DHR,2020-05-07,S1,bullish,2,neutral,bullish,29.1171
DHR,2023-10-24,S1,neutral,-2,bearish,bullish,10.2841
DIS,2020-05-05,S1,neutral,-2,bearish,bullish,4.7218
DIS,2020-08-04,S1,neutral,3,bullish,bullish,23.7859
DIS,2022-05-11,S1,neutral,-2,bearish,bearish,-12.1931
DIS,2024-05-07,S1,bullish,1,neutral,bearish,-19.8619
DIS,2024-11-14,S1,bullish,2,neutral,neutral,-3.2893
DIS,2025-02-05,S1,bullish,2,neutral,neutral,-1.6162
DIS,2025-08-06,S1,bullish,2,neutral,bearish,-13.6962
ENVX,2021-08-10,S5,bullish,-2,bearish,bullish,8.9822
ENVX,2021-11-08,S5,neutral,-2,bearish,bearish,-54.8216
ENVX,2022-03-03,S5,neutral,-2,bearish,bullish,57.374
ENVX,2022-05-11,S5,neutral,-2,bearish,bullish,48.9913
ENVX,2022-11-01,S5,neutral,-2,bearish,bearish,-5.1319
ENVX,2023-02-22,S5,neutral,-2,bearish,bullish,39.2631
ENVX,2023-11-07,S5,neutral,-2,bearish,bearish,-41.6753
ENVX,2024-02-20,S5,neutral,-2,bearish,bearish,-18.1452
ENVX,2024-05-01,S5,bullish,1,neutral,bullish,-4.1814
ENVX,2024-07-31,S5,neutral,-2,bearish,bearish,-8.6826
ENVX,2024-10-29,S5,bullish,-1,neutral,bearish,-30.9715
ENVX,2025-02-19,S5,bullish,-2,bearish,bearish,-16.6128
ENVX,2025-11-05,S5,bearish,-1,neutral,bearish,-35.3898
