ticker,call_date,stratum,ret,gt,b1,b2,expectedReturn,rangeLow,rangeHigh,p9_group,b1_dir,b2_dir
ABBV,2020-02-07,S1,-1.8985,neutral,2,2,5.0,-10.0,20.0,neutral,neutral,neutral
ABBV,2020-05-01,S1,-11.1952,bearish,1,2,7.0,-10.0,20.0,neutral,neutral,neutral
ABBV,2020-07-31,S1,-5.7384,bearish,2,3,8.0,-10.0,22.0,neutral,neutral,bullish
ABBV,2020-10-30,S1,-0.0323,neutral,2,3,7.0,-10.0,22.0,neutral,neutral,bullish
ABBV,2021-02-03,S1,-7.6342,bearish,3,3,10.0,-5.0,22.0,bullish,bullish,bullish
ABBV,2021-04-30,S1,-9.8246,bearish,3,3,8.0,-8.0,22.0,bullish,bullish,bullish
ABBV,2021-07-30,S1,18.4666,bullish,2,2,4.0,-10.0,18.0,neutral,neutral,neutral
ABBV,2021-10-29,S1,38.3757,bullish,1,1,-4.0,-20.0,10.0,neutral,neutral,neutral
ABBV,2022-02-02,S1,7.5328,bullish,2,2,3.0,-15.0,20.0,neutral,neutral,neutral
ABBV,2022-04-29,S1,5.9668,bullish,2,2,5.0,-10.0,20.0,neutral,neutral,neutral
ABBV,2022-07-29,S1,5.5609,neutral,2,1,4.0,-12.0,18.0,neutral,neutral,neutral
ABBV,2022-10-28,S1,-4.4713,neutral,2,1,8.0,-10.0,22.0,neutral,neutral,neutral
ABBV,2023-02-09,S1,-9.6821,bearish,1,1,5.0,-15.0,20.0,neutral,neutral,neutral
ABBV,2023-04-27,S1,-3.1048,neutral,2,2,6.0,-10.0,20.0,neutral,neutral,neutral
ABBV,2023-07-27,S1,2.6577,neutral,3,3,8.0,-8.0,22.0,bullish,bullish,bullish
ABBV,2023-10-27,S1,-9.8028,bearish,3,2,5.0,-10.0,18.0,neutral,bullish,neutral
ABBV,2024-02-02,S1,2.3358,neutral,3,3,8.0,-10.0,22.0,neutral,bullish,bullish
ABBV,2024-04-26,S1,2.7775,neutral,2,2,7.0,-8.0,22.0,neutral,neutral,neutral
ABBV,2024-07-25,S1,-19.8215,bearish,2,2,8.0,-8.0,22.0,bullish,neutral,neutral
ABBV,2024-10-30,S1,-1.8222,neutral,3,3,8.0,-5.0,22.0,bullish,bullish,bullish
ABBV,2025-01-31,S1,-1.3348,neutral,2,3,6.0,-10.0,20.0,neutral,neutral,bullish
ABBV,2025-04-25,S1,-4.4115,neutral,3,2,6.0,-10.0,22.0,neutral,bullish,neutral
ABBV,2025-07-31,S1,1.2814,bullish,3,3,8.0,-5.0,20.0,bullish,bullish,bullish
ABBV,2025-10-31,S1,-7.9887,bearish,3,3,7.0,-8.0,20.0,neutral,bullish,bullish
AEP,2020-05-06,S3,-4.7228,bearish,1,1,4.0,-10.0,18.0,neutral,neutral,neutral
AEP,2020-08-06,S3,-20.498,bearish,2,2,4.0,-10.0,18.0,neutral,neutral,neutral
AEP,2020-10-22,S3,-23.5063,bearish,1,1,0.0,-15.0,10.0,neutral,neutral,neutral
AEP,2021-02-25,S3,1.9128,neutral,-1,0,-3.0,-15.0,8.0,neutral,neutral,neutral
AEP,2021-07-22,S3,3.0345,neutral,1,1,2.0,-12.0,16.0,neutral,neutral,neutral
AEP,2021-10-28,S3,27.7644,bullish,2,2,5.0,-10.0,18.0,neutral,neutral,neutral
AEP,2022-02-24,S3,19.7268,bullish,2,2,5.0,-10.0,18.0,neutral,neutral,neutral
AEP,2022-04-28,S3,-4.2653,neutral,2,2,2.0,-12.0,16.0,neutral,neutral,neutral
AEP,2022-07-27,S3,-3.9899,neutral,1,1,4.0,-12.0,18.0,neutral,neutral,neutral
AEP,2022-10-27,S3,-2.1982,neutral,1,1,-3.0,-15.0,8.0,neutral,neutral,neutral
AEP,2023-02-23,S3,-23.0476,bearish,-1,1,3.0,-12.0,15.0,neutral,neutral,neutral
AEP,2023-05-04,S3,-18.3662,bearish,-1,-2,-3.0,-15.0,8.0,neutral,neutral,bearish
AEP,2023-07-27,S3,-15.3898,bearish,-1,-1,2.0,-12.0,16.0,neutral,neutral,neutral
AEP,2023-11-02,S3,-5.4817,bearish,1,1,4.0,-12.0,20.0,neutral,neutral,neutral
AEP,2024-02-27,S3,7.3437,bullish,-1,-1,-6.0,-20.0,8.0,bearish,neutral,neutral
AEP,2024-04-30,S3,-5.7905,neutral,2,2,6.0,-8.0,20.0,neutral,neutral,neutral
AEP,2024-07-30,S3,-7.8351,bearish,2,2,4.0,-12.0,18.0,neutral,neutral,neutral
AEP,2024-11-06,S3,17.3605,bullish,2,2,5.0,-10.0,20.0,neutral,neutral,neutral
AEP,2025-02-13,S3,5.0502,bullish,3,3,8.0,-8.0,22.0,bullish,bullish,bullish
AEP,2025-05-06,S3,-8.4037,bearish,2,3,6.0,-8.0,18.0,neutral,neutral,bullish
AEP,2025-07-30,S3,-4.7354,neutral,3,3,8.0,-5.0,20.0,neutral,bullish,bullish
AEP,2025-11-05,S3,1.4248,neutral,3,3,8.0,-8.0,22.0,neutral,bullish,bullish
AIG,2020-05-05,S3,22.8819,bullish,-1,-1,-5.0,-20.0,10.0,bearish,neutral,neutral
AIG,2020-08-04,S3,12.9132,bullish,2,2,7.0,-12.0,25.0,neutral,neutral,neutral
AIG,2020-11-06,S3,17.3793,bullish,2,3,6.0,-12.0,22.0,neutral,neutral,bullish
AIG,2021-02-17,S3,15.2629,bullish,2,2,8.0,-8.0,22.0,bullish,neutral,neutral
AIG,2021-05-07,S3,1.4547,neutral,3,2,8.0,-10.0,25.0,bullish,bullish,neutral
AIG,2021-08-06,S3,16.1418,bullish,3,3,8.0,-10.0,25.0,bullish,bullish,bullish
AIG,2021-11-05,S3,17.4705,bullish,3,2,8.0,-12.0,25.0,bullish,bullish,neutral
