split,ticker,date,pred,mD,m1
train,ABBV,2020-02-07,bullish,0.06394,0.01919
train,ABBV,2020-05-01,neutral,0.03426,-0.01459
train,ABBV,2020-07-31,bullish,-0.01967,0.0039
train,ABBV,2020-10-30,bullish,0.06534,0.02581
train,ABBV,2021-02-03,neutral,0.03285,0.00341
train,ABBV,2021-04-30,bullish,0.01207,0.02636
train,ABBV,2021-07-30,bullish,-0.01676,-0.00521
train,ABBV,2021-10-29,bullish,0.04356,-0.0005
train,ABBV,2022-02-02,neutral,0.00211,0.03873
train,ABBV,2022-04-29,neutral,-0.02337,0.00072
train,ABBV,2022-07-29,neutral,-0.05625,-0.01996
train,ABBV,2022-10-28,bearish,-0.06216,-0.00097
train,ABBV,2023-02-09,neutral,0.03695,0.02019
train,ABBV,2023-04-27,neutral,-0.09982,0.00658
train,ABBV,2023-07-27,bullish,0.05561,0.00365
train,ABBV,2023-10-27,neutral,-0.03865,0.00935
train,ABBV,2024-02-02,bullish,-0.00408,0.019
train,ABBV,2024-04-26,neutral,-0.05532,0.00836
train,ABBV,2024-07-25,bullish,0.03903,0.00521
train,ABBV,2024-10-30,neutral,0.06663,0.03136
train,ABBV,2025-01-31,bullish,0.05229,0.04066
train,ABBV,2025-04-25,bullish,0.02432,0.03337
train,ABBV,2025-07-31,bullish,0.00222,0.04919
train,ABBV,2025-10-31,bullish,-0.0478,-0.02976
train,AEP,2020-05-06,neutral,-0.04712,-0.01486
train,AEP,2020-08-06,neutral,-0.00032,0.01369
train,AEP,2020-10-22,neutral,0.01443,-0.00687
train,AEP,2021-02-25,neutral,0.01372,-0.01385
train,AEP,2021-07-22,neutral,-0.00021,0.00267
train,AEP,2021-10-28,neutral,-0.00479,-0.00203
train,AEP,2022-02-24,bullish,0.00764,0.01144
train,AEP,2022-04-28,neutral,0.00388,0.00454
train,AEP,2022-07-27,neutral,-0.02731,0.00127
train,AEP,2022-10-27,neutral,0.00225,0.00167
train,AEP,2023-02-23,neutral,-0.00653,0.0076
train,AEP,2023-05-04,neutral,0.01336,-0.01119
train,AEP,2023-07-27,neutral,-0.02019,-0.00791
train,AEP,2023-11-02,neutral,0.01692,-0.00307
train,AEP,2024-02-27,neutral,0.039,-0.0076
train,AEP,2024-04-30,neutral,0.00846,0.02789
train,AEP,2024-07-30,neutral,0.01609,-0.01646
train,AEP,2024-11-06,bullish,-0.0662,-0.0069
train,AEP,2025-02-13,bullish,-0.02385,0.00837
train,AEP,2025-05-06,bullish,0.00836,-0.00383
train,AEP,2025-07-30,bullish,0.03816,0.00278
train,AEP,2025-11-05,bullish,-0.00795,0.00881
train,AIG,2020-05-05,neutral,0.03189,-0.06305
train,AIG,2020-08-04,neutral,-0.07916,0.00927
train,AIG,2020-11-06,neutral,-0.00785,0.11892
train,AIG,2021-02-17,neutral,0.02634,-0.02255
train,AIG,2021-05-07,neutral,0.01305,0.02416
train,AIG,2021-08-06,bullish,0.04541,0.01848
train,AIG,2021-11-05,bullish,-0.02715,0.00254
train,AIG,2022-02-17,neutral,0.0386,0.01218
train,AIG,2022-05-04,bullish,0.04363,0.00708
train,AIG,2022-08-09,neutral,0.02846,0.00458
train,AIG,2022-11-02,bullish,0.02878,0.01606
train,AIG,2023-02-16,bullish,0.01911,-0.01906
train,AIG,2023-05-05,bullish,0.05988,-0.00101
train,AIG,2023-08-02,bullish,0.02865,0.00074
train,AIG,2023-11-02,neutral,0.01806,-0.01876
train,AIG,2024-02-14,bullish,-0.02221,0.00944
train,AIG,2024-05-02,neutral,0.02085,-0.00753
train,AIG,2024-08-01,bullish,-0.04036,-0.02063
train,AIG,2024-11-05,bullish,-0.02441,-0.00324
train,AIG,2025-02-12,neutral,0.01547,-0.01654
train,AIG,2025-05-02,bullish,0.02004,-0.00156
train,AIG,2025-08-07,bullish,-0.03028,0.01218
train,AIG,2025-11-05,bullish,-0.05786,0.01021
train,AMPX,2022-11-10,neutral,-0.006,0.03223
train,AMPX,2023-03-23,neutral,0.38821,-0.02617
train,AMPX,2023-05-10,neutral,-0.00018,-0.01951
train,AMPX,2023-08-10,neutral,-0.01668,-0.08841
train,AMPX,2023-11-09,neutral,-0.10584,0.16022
train,AMPX,2024-03-21,neutral,0.01388,-0.06567
train,AMPX,2024-05-09,neutral,0.02202,-0.1139
train,AMPX,2024-08-08,neutral,0.11839,-0.10358
train,AMPX,2024-11-07,neutral,0.02401,0.32644
train,AMPX,2025-03-20,neutral,0.05289,0.34899
train,AMPX,2025-05-08,neutral,0.04812,-0.00676
train,AMPX,2025-08-07,bullish,-0.02195,0.03624
train,AMPX,2025-11-06,bullish,-0.12577,0.12957
train,BLK,2020-01-15,bullish,0.02078,0.00062
train,BLK,2020-04-16,neutral,0.03111,0.01194
train,BLK,2020-07-17,bullish,0.03372,-0.0219
train,BLK,2020-09-29,bullish,-0.00145,0.00819
train,BLK,2021-01-14,neutral,-0.04299,-0.01388
train,BLK,2021-04-15,bullish,0.01019,-0.01116
train,BLK,2021-07-14,bullish,-0.03205,0.00305
train,BLK,2021-10-13,bullish,0.03422,0.01164
train,BLK,2022-01-14,neutral,-0.02229,-0.00185
train,BLK,2022-04-27,bullish,-0.00904,-0.0129
train,BLK,2022-07-15,neutral,0.00084,0.00353
train,BLK,2022-10-13,neutral,0.03938,-0.00385
train,BLK,2023-01-13,neutral,-0.00384,-0.00382
train,BLK,2023-04-14,neutral,0.03316,0.00658
train,BLK,2023-07-14,neutral,-0.01529,-0.00369
train,BLK,2023-10-13,neutral,-0.0084,0.00189
train,BLK,2024-01-12,bullish,0.00813,-0.00661
train,BLK,2024-04-12,bullish,-0.0149,0.01199
train,BLK,2024-07-15,bullish,-0.0088,0.01956
train,BLK,2024-10-11,bullish,0.03029,-0.0067
train,BLK,2025-01-15,neutral,0.03373,-0.01531
train,BLK,2025-04-11,bullish,0.00545,0.00301
train,BLK,2025-07-15,bullish,-0.05448,0.03114
train,BLK,2025-10-14,bullish,0.03511,0.00254
train,BMY,2020-02-06,neutral,0.01966,-0.00734
train,BMY,2020-05-07,neutral,-0.01354,-0.01638
train,BMY,2020-08-06,neutral,0.02079,-0.00577
train,BMY,2020-11-05,neutral,-0.04518,0.00101
train,BMY,2021-02-04,bullish,-0.01894,-0.01433
train,BMY,2021-04-29,neutral,-0.05393,-0.0009
train,BMY,2021-07-28,neutral,0.01878,-0.01259
train,BMY,2021-10-27,neutral,-0.02562,0.00168
train,BMY,2022-02-04,neutral,0.00966,0.02167
train,BMY,2022-04-29,neutral,0.01196,-0.00854
train,BMY,2022-07-27,neutral,-0.00994,-0.01401
train,BMY,2022-10-26,neutral,0.03062,0.00735
train,BMY,2023-02-02,neutral,0.00706,0.03372
train,BMY,2023-04-27,neutral,-0.02594,-0.02096
