date, buy_hold , 15pct_cap , 20pct_cap , 25pct_cap , spy 
3/24/20," $1,748,390.04 "," $1,748,390.04 "," $1,748,390.04 "," $1,748,390.04 "," $2,191,066.00 "
4/1/20," $1,553,871.75 "," $1,553,871.75 "," $1,553,871.75 "," $1,553,871.75 "," $2,218,099.33 "
7/1/20," $2,611,150.65 "," $2,530,348.41 "," $2,541,759.72 "," $2,552,827.84 "," $2,810,461.68 "
10/1/20," $4,542,195.87 "," $3,864,438.56 "," $3,966,462.49 "," $4,040,527.90 "," $3,062,700.63 "
1/1/21," $8,212,263.22 "," $5,823,002.94 "," $6,171,474.25 "," $6,424,852.81 "," $3,411,949.86 "
4/1/21," $7,851,564.58 "," $5,469,066.30 "," $5,806,664.23 "," $6,059,364.70 "," $3,667,856.20 "
7/1/21," $8,687,867.35 "," $5,917,571.39 "," $6,287,573.36 "," $6,560,986.02 "," $3,953,771.44 "
10/1/21," $7,500,048.34 "," $5,313,892.43 "," $5,621,599.62 "," $5,837,786.16 "," $4,001,547.69 "
1/1/22," $8,634,931.94 "," $5,700,427.00 "," $6,066,360.13 "," $6,339,606.65 "," $4,392,161.00 "
4/1/22," $9,274,341.80 "," $5,012,696.79 "," $5,426,309.01 "," $5,771,691.63 "," $4,201,359.37 "
7/1/22," $8,624,385.44 "," $4,068,633.30 "," $4,454,818.10 "," $4,793,581.24 "," $3,551,720.70 "
10/1/22," $11,715,054.36 "," $4,062,776.91 "," $4,568,717.31 "," $5,047,045.29 "," $3,341,241.31 "
1/1/23," $11,189,173.63 "," $3,827,070.89 "," $4,307,759.22 "," $4,759,442.78 "," $3,593,870.06 "
4/1/23," $9,099,009.07 "," $4,071,360.03 "," $4,518,029.80 "," $4,904,782.00 "," $3,861,908.78 "
7/1/23," $7,532,258.20 "," $4,424,727.21 "," $4,878,969.00 "," $5,218,624.25 "," $4,197,136.45 "
10/1/23," $5,477,701.36 "," $4,149,243.00 "," $4,584,592.69 "," $4,884,443.45 "," $4,061,813.80 "
1/1/24," $6,003,320.55 "," $4,398,490.36 "," $4,787,391.17 "," $5,061,222.93 "," $4,534,593.45 "
4/1/24," $5,394,224.91 "," $4,433,896.01 "," $4,933,791.98 "," $5,287,806.70 "," $4,997,033.27 "
7/1/24," $4,488,943.35 "," $4,068,230.83 "," $4,463,008.21 "," $4,723,198.20 "," $5,235,702.08 "
10/1/24," $5,059,577.68 "," $4,516,671.95 "," $4,986,612.81 "," $5,303,123.65 "," $5,475,953.44 "
1/1/25," $3,404,032.53 "," $4,720,029.27 "," $5,137,944.22 "," $5,391,079.99 "," $5,663,093.96 "
4/1/25," $3,038,498.47 "," $3,951,727.22 "," $4,367,245.79 "," $4,646,995.28 "," $5,436,770.23 "
7/1/25," $2,275,450.40 "," $4,460,635.69 "," $4,855,060.65 "," $5,087,193.69 "," $6,003,794.44 "
10/1/25," $2,221,890.68 "," $4,552,061.28 "," $4,906,310.28 "," $5,097,306.89 "," $6,515,604.12 "
1/1/26," $2,053,031.23 "," $4,406,939.49 "," $4,736,569.25 "," $4,911,359.47 "," $6,666,541.05 "
3/21/26," $2,335,034.01 "," $3,520,041.63 "," $3,815,079.24 "," $3,984,880.60 "," $6,357,823.03 "
