date,No-ENPH 15%,No-ENPH 20%,No-ENPH 25%,ENPH 50% cap,ENPH 40% cap
3/24/20," $2,191,066.29 "," $2,191,066.29 "," $2,191,066.29 "," $2,191,066.29 "," $2,191,066.29 "
4/1/20," $1,116,587.38 "," $1,116,587.38 "," $1,116,587.38 "," $1,553,871.75 "," $1,553,871.75 "
7/1/20," $1,750,410.59 "," $1,750,410.59 "," $1,750,410.59 "," $2,602,891.31 "," $2,583,927.20 "
10/1/20," $2,268,373.00 "," $2,268,373.00 "," $2,268,373.00 "," $4,293,049.14 "," $4,201,806.22 "
1/1/21," $2,994,661.25 "," $2,994,661.25 "," $2,994,661.25 "," $7,195,719.51 "," $6,925,866.85 "
4/1/21," $2,997,267.33 "," $2,997,267.33 "," $2,997,267.33 "," $6,789,531.37 "," $6,535,150.32 "
7/1/21," $3,261,068.19 "," $3,258,924.33 "," $3,258,924.33 "," $7,337,491.99 "," $7,063,101.68 "
10/1/21," $3,064,840.75 "," $3,063,117.55 "," $3,063,117.55 "," $6,377,162.73 "," $6,189,223.52 "
1/1/22," $3,197,174.17 "," $3,197,735.64 "," $3,197,735.64 "," $7,142,581.32 "," $6,873,772.97 "
4/1/22," $2,677,839.51 "," $2,675,379.14 "," $2,675,379.14 "," $7,220,827.90 "," $6,700,125.74 "
7/1/22," $2,099,243.63 "," $2,096,586.04 "," $2,096,586.04 "," $6,442,585.24 "," $5,815,277.98 "
10/1/22," $1,881,618.39 "," $1,876,627.10 "," $1,876,627.10 "," $7,966,570.07 "," $6,719,264.54 "
1/1/23," $1,861,322.59 "," $1,856,057.10 "," $1,856,057.10 "," $7,495,413.04 "," $6,332,010.19 "
4/1/23," $2,032,241.16 "," $2,026,257.98 "," $2,026,257.98 "," $6,692,639.52 "," $6,098,043.84 "
7/1/23," $2,322,934.70 "," $2,319,801.19 "," $2,319,801.19 "," $6,299,477.48 "," $6,108,553.62 "
10/1/23," $2,140,505.48 "," $2,133,060.50 "," $2,133,060.50 "," $5,277,416.70 "," $5,455,490.84 "
1/1/24," $2,321,653.24 "," $2,314,579.64 "," $2,314,579.64 "," $5,604,829.46 "," $5,708,888.90 "
4/1/24," $2,314,736.16 "," $2,299,526.25 "," $2,299,526.25 "," $5,510,394.39 "," $5,827,827.79 "
7/1/24," $2,153,721.62 "," $2,128,649.30 "," $2,128,649.30 "," $4,787,778.56 "," $5,135,726.24 "
10/1/24," $2,356,837.28 "," $2,330,131.18 "," $2,330,131.18 "," $5,381,439.05 "," $5,782,038.85 "
1/1/25," $2,526,406.66 "," $2,487,699.17 "," $2,487,699.17 "," $4,798,435.46 "," $5,569,271.19 "
4/1/25," $2,207,226.89 "," $2,174,549.39 "," $2,174,549.39 "," $4,190,156.53 "," $4,845,327.75 "
7/1/25," $2,504,942.19 "," $2,470,969.46 "," $2,470,969.46 "," $4,163,816.91 "," $5,102,204.60 "
10/1/25," $2,664,637.85 "," $2,636,098.70 "," $2,636,098.70 "," $4,152,166.95 "," $5,082,995.89 "
1/1/26," $2,632,600.06 "," $2,617,032.78 "," $2,617,032.78 "," $3,970,821.96 "," $4,876,856.82 "
3/21/26," $2,127,577.56 "," $2,112,667.68 "," $2,112,667.68 "," $3,473,485.00 "," $4,077,135.90 "
